Questions,Category,text,label
Recognize the purpose of a varactor diode in voltage-controlled oscillators?,BT1,recognize the purpose of a varactor diode in voltage-controlled oscillators?,0
State the definition of application in Bloom's Taxonomy.,BT1,state the definition of application in bloom's taxonomy.,0
Recognize subjectivity in a conversation about the most significant scientific discovery.,BT5,recognize subjectivity in a conversation about the most significant scientific discovery.,4
How can you use your knowledge of history to analyze the causes of a current conflict?,BT3,how can you use your knowledge of history to analyze the causes of a current conflict?,2
How to Construct the Optimal Maintenance Problem,BT3,how to construct the optimal maintenance problem,2
What are the limitations of nanomaterials?,BT1,what are the limitations of nanomaterials?,0
Recite the principles of the Data Protection Act.,BT1,recite the principles of the data protection act.,0
Analyze the beam shown in figure 1 by slope deflection method and draw BMD.,BT4,analyze the beam shown in figure 1 by slope deflection method and draw bmd.,3
"Evaluate the effectiveness of different clustering algorithms (e.g., K-means, hierarchical clustering, DBSCAN) in identifying patterns and structures in unlabeled data.",BT4,"evaluate the effectiveness of different clustering algorithms (e.g., k-means, hierarchical clustering, dbscan) in identifying patterns and structures in unlabeled data.",3
Create a system for automatically detecting and mitigating vibration-induced fatigue failures in mechanical structures using sensor data analysis.,BT6,create a system for automatically detecting and mitigating vibration-induced fatigue failures in mechanical structures using sensor data analysis.,5
Write a short note on capacity control of compressors.,BT1,write a short note on capacity control of compressors.,0
How do we efficiently combine multiple subject graphs to construct an aig with choice,BT6,how do we efficiently combine multiple subject graphs to construct an aig with choice,5
Give classification of dyes on the basis of application.,BT4,give classification of dyes on the basis of application.,3
Compare how different children come to school.,BT4,compare how different children come to school.,3
What is system bus?,BT1,what is system bus?,0
"Consider you're designing a satellite communication system for remote sensing applications. Explain how you would calculate link budget parameters, including path loss, antenna gain, and noise figure, to ensure reliable data transmission.",BT2,"consider you're designing a satellite communication system for remote sensing applications. explain how you would calculate link budget parameters, including path loss, antenna gain, and noise figure, to ensure reliable data transmission.",1
What questions do you need to formulate before conducting an experiment?,BT6,what questions do you need to formulate before conducting an experiment?,5
Decide on the best strategy for entering a new market.,BT5,decide on the best strategy for entering a new market.,4
Design a wein bridge oscillator to generate oscillations at 1 KHZ.,BT3,design a wein bridge oscillator to generate oscillations at 1 khz.,2
Write one important feature and an application each of the following motors.,BT1,write one important feature and an application each of the following motors.,0
"Propose innovative solutions for optimizing energy efficiency in HVAC (heating, ventilation, and air conditioning) systems for buildings.",BT3,"propose innovative solutions for optimizing energy efficiency in hvac (heating, ventilation, and air conditioning) systems for buildings.",2
What does it mean to integrate multiple software systems?,BT6,what does it mean to integrate multiple software systems?,5
"Using IC 741 op-amp with supply voltage of Â±15V design an inverting schmitt trigger circuit to have VUTP = +3V , VLTP = â3V .",BT3,"using ic 741 op-amp with supply voltage of â±15v design an inverting schmitt trigger circuit to have vutp = +3v , vltp = â3v .",2
What is doubly linkedlist.,BT1,what is doubly linkedlist.,0
Explain the feedback compensator with example.,BT1,explain the feedback compensator with example.,0
Describe the purpose of a nozzle in fluid mechanics?,BT1,describe the purpose of a nozzle in fluid mechanics?,0
In a geometrically similar model of weir the discharge is 0.,BT3,in a geometrically similar model of weir the discharge is 0.,2
Explain working of vertical type wind turbine with neat diagram.,BT1,explain working of vertical type wind turbine with neat diagram.,0
"Distinguish between linear and nonlinear finite element analysis methods, discussing their respective applications in structural mechanics and stress analysis.",BT4,"distinguish between linear and nonlinear finite element analysis methods, discussing their respective applications in structural mechanics and stress analysis.",3
Explain with appropriate example how schedule can be prepare using PERT.,BT4,explain with appropriate example how schedule can be prepare using pert.,3
Design a cybersecurity framework for securing interconnected smart cities against cyber threats and unauthorized access.,BT6,design a cybersecurity framework for securing interconnected smart cities against cyber threats and unauthorized access.,5
Why dont you devise your own way to deal with . . .?,BT6,why dont you devise your own way to deal with . . .?,5
A bank maintains two kinds of accounts for customers.,BT3,a bank maintains two kinds of accounts for customers.,2
"The tyrosinase-containing solution was dissolved in 50 mM potassium phosphate buffer containing 0.01 mM NaCl, pH 6.5, before applying to a DEAE Sephadex A50 column. Suggest and explain how the mobile phase should be modified to elute the bound tyrosinase. ",BT6,"the tyrosinase-containing solution was dissolved in 50 mm potassium phosphate buffer containing 0.01 mm nacl, ph 6.5, before applying to a deae sephadex a50 column. suggest and explain how the mobile phase should be modified to elute the bound tyrosinase.",5
Design the clocked sequential circuit for the state diagram using T flip flop.,BT3,design the clocked sequential circuit for the state diagram using t flip flop.,2
Defend the importance of net neutrality.,BT5,defend the importance of net neutrality.,4
Contrast B-mode and A-mode ultrasound systems. ,BT2,contrast b-mode and a-mode ultrasound systems.,1
How would you differentiate between heterodox and mainstream,BT4,how would you differentiate between heterodox and mainstream,3
Explain in brief the factors governing the choice of adhesives.,BT1,explain in brief the factors governing the choice of adhesives.,0
Explain necessity of transposition of line conductors in three phase lines.,BT2,explain necessity of transposition of line conductors in three phase lines.,1
List and explain file types and file access methods.,BT1,list and explain file types and file access methods.,0
Judge the efficiency of an adaptive modulation and coding scheme in maximizing data throughput in wireless communication channels.,BT5,judge the efficiency of an adaptive modulation and coding scheme in maximizing data throughput in wireless communication channels.,4
Use regression analysis to determine the factors affecting customer satisfaction.,BT3,use regression analysis to determine the factors affecting customer satisfaction.,2
Write Short notes on industrial robotic application of Light Curtains and Laser Area Scanner.,BT1,write short notes on industrial robotic application of light curtains and laser area scanner.,0
Assess the potential market for a new fashion line.,BT5,assess the potential market for a new fashion line.,4
Critically analyze the challenges and opportunities of implementing Internet of Things (IoT) technologies in smart home environments.,BT3,critically analyze the challenges and opportunities of implementing internet of things (iot) technologies in smart home environments.,2
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",BT3,"using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to rm 1200 million and increases tax by rm 300 million.",2
Assess the feasibility of using green infrastructure for urban heat island mitigation and climate resilience.,BT5,assess the feasibility of using green infrastructure for urban heat island mitigation and climate resilience.,4
How would you classify the different forms of energy sources?,BT4,how would you classify the different forms of energy sources?,3
Explain the properties of instantaneous centre of rotation.,BT4,explain the properties of instantaneous centre of rotation.,3
Compare the various types of fasteners in terms of their installation methods and load-carrying capacity.,BT2,compare the various types of fasteners in terms of their installation methods and load-carrying capacity.,1
Write short note on plate tectonic.,BT1,write short note on plate tectonic.,0
